SGB	ann	leave_mean	unleave_mean	p	type	FC	group
SMGC_129	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Gulosibacter;s__Gulosibacter sp904848455	3.25e-08	9.73e-09	3.45928771382606	D	1.73992800802207	leave
SMGC_176		1.72e-08	1.03e-08	3.44570228672852	D	0.739764227518879	pass
T2108173986_concoct_bins_bin.58	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1.89e-07	1.91e-08	3.44291647187922	C	3.30674169107269	leave
SMGC_450	d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanoperiomorbaceae;g__Nanoperiomorbus;s__Nanoperiomorbus sp004136275	7.77e-07	2.23e-07	3.43572817474845	C	1.80087088848741	leave
T2108174023_concoct_bins_bin.43	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1.73e-07	2.36e-08	3.43138999633791	D	2.87391327316225	leave
T2108173925_concoct_bins_bin.112	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Fenollaria;s__Fenollaria sp900539725	4.35e-07	1.52e-07	3.42870703246386	C	1.51694407729251	leave
T2108173986_concoct_bins_bin.117	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp900539155	2.11e-07	2.34e-08	3.42870703246386	C	3.17266256401114	leave
T2108174043_metabat2_bins_bin.15	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	1.13e-06	2e-07	3.42870703246386	C	2.49825086752783	leave
T2108174089_concoct_bins_bin.66	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	6.51e-08	1.95e-08	3.40037889303845	C	1.73918341941602	leave
MET0780_bin.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__	4.06e-08	1.23e-08	3.38918019916456	D	1.72282141184594	leave
T2108173925_metabat2_bins_bin.51	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	3.04e-07	1.08e-07	3.38625963101977	C	1.49304001128012	leave
T2108174065_metabat2_bins_bin.40	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	1.09e-06	8.03e-08	3.38625963101977	C	3.76278433703434	leave
T2107172016_concoct_bins_bin.82	d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__	1.16e-07	2.95e-08	3.37547658189195	D	1.97533794576573	leave
T2108174065_metabat2_bins_bin.40	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	1.43e-06	9.49e-08	3.37547658189195	D	3.913463249532	leave
T2107171993_concoct_bins_bin.32	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	3.46e-07	4.95e-08	3.36505946086304	C	2.80527160755712	leave
T2107171981_concoct_bins_bin.49	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__W5053;s__	1.35e-06	2.26e-07	3.3615726469004	D	2.57856472952301	leave
T2108174102_concoct_bins_bin.133		2.41e-07	1.63e-07	3.3615726469004	D	0.564161181998884	pass
1111525849771817_bin.11	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	4.04e-08	1.38e-08	3.30602608335623	D	1.54968702597363	leave
1111525849862995_bin.32	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__	9.52e-08	2.03e-08	3.30602608335623	D	2.22948184612277	leave
SMGC_10	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	1.32e-07	6.33e-08	3.30602608335623	D	1.06026052481747	leave
T2108174147_metabat2_bins_bin.104		7.1e-07	6.61e-07	3.30233570855577	C	0.103168752884353	pass
T2108174003_metabat2_bins_bin.58		2.41e-07	1.62e-07	3.29249284375197	D	0.573039333345337	pass
T2108174077_concoct_bins_bin.25		2.57e-07	1.63e-07	3.28827373436974	C	0.656896394962801	pass
SMGC_282		2.17e-07	3.03e-07	3.28125424477845	C	-0.481622751028472	pass
T2108174080_metabat2_bins_bin.62	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Facklamia;s__	3.61e-06	1.01e-07	3.27876580479924	D	5.15957163902274	leave
T2108173986_concoct_bins_bin.117	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp900539155	5.74e-07	6.27e-08	3.26568192052478	D	3.19451338876101	leave
T2109199171_concoct_bins_bin.15		4.16e-07	2.58e-07	3.265067422959	D	0.689212462717838	pass
T2108173986_concoct_bins_bin.1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_E	7.51e-06	3.94e-07	3.25139881429823	D	4.25254537294526	leave
SMGC_173	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000431015	3.14e-08	1.44e-08	3.2512524039672	D	1.12469574744931	leave
SMGC_317		3.25e-08	1.66e-08	3.2512524039672	D	0.969256476568892	pass
T2108173980_metabat2_bins_bin.75	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__Stomatobaculum sp002892395	7.19e-07	1.46e-07	3.23776045303587	D	2.30002340155928	leave
SMGC_488		2.7e-07	4.21e-07	3.23761406479918	D	-0.640860826015565	pass
SMGC_15	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus sp900541365	4.24e-07	1.41e-07	3.22400530042786	D	1.58836910216441	leave
SMGC_205	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii	2.45e-07	7.18e-07	3.21224631630045	C	-1.55120209482048	unleave
T2108173910_metabat2_bins_bin.72	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	8.67e-06	6.3e-07	3.21057018907989	D	3.78260825972192	leave
