user_genome	classification	type
T2108173892_concoct_bins_bin.28	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Marmoricola;s__	unclassified
T2108173892_concoct_bins_bin.64	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__	unclassified
T2108173892_metabat2_bins_bin.26	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	unclassified
T2108173893_concoct_bins_bin.68	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__UBA6265;g__UBA6265;s__	unclassified
T2108173894_concoct_bins_bin.62	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__	unclassified
T2108173894_concoct_bins_bin.72	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	unclassified
T2108173894_concoct_bins_bin.75	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__JADJOU01;g__;s__	unclassified
1111525849640249_bin.14	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae;g__JACMJB01;s__	unclassified
T2108173894_metabat2_bins_bin.31	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter_B;s__	unclassified
T2108173894_metabat2_bins_bin.32	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__CU05-9;s__CU05-9 sp007556525	classified
T2108173895_concoct_bins_bin.12	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Pseudobdellovibrio;s__	unclassified
T2108173895_concoct_bins_bin.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__B-17BO;g__UBA4416;s__	unclassified
T2108173895_concoct_bins_bin.55	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__SKUG01;g__JAGQUL01;s__	unclassified
