sample	type1	type2	individual
T2108174011	D	XZ	57
T2108174012	A	XZ	90
T2108174013	D	XZ	90
T2108174014	C	XZ	90
T2108174015	B	XZ	90
T2108174016	C	XZ	58
T2108174017	B	XZ	58
T2108174018	A	XZ	58
T2108174019	D	XZ	58
T2108174020	B	XZ	35
T2108174021	C	XZ	59
T2108174022	C	XZ	98
T2108174023	D	XZ	98
T2108174024	A	XZ	98
T2108174025	B	XZ	98
T2108174026	C	XZ	28
T2108174027	D	XZ	28
T2108174028	A	XZ	28
T2108174029	B	XZ	28
T2108174030	control	XZ	control
T2108174031	control	XZ	control
T2108174032	control	XZ	control
T2108174033	control	XZ	control
T2108174036	B	XZ	39
T2108174037	C	XZ	39
T2108174038	D	XZ	39
T2108174039	A	XZ	39
T2108174040	B	XZ	31
T2108174041	A	XZ	31
T2108174042	C	XZ	31
T2108174043	D	XZ	31
T2108174044	D	XZ	104
T2108174045	B	XZ	104
T2108174046	C	XZ	104
T2108174047	A	XZ	104
T2108174048	C	XZ	94
T2108174049	B	XZ	94
T2108174050	A	XZ	94
T2108174051	D	XZ	94
T2108174052	C	XZ	5
T2108174053	A	XZ	5
T2108174054	B	XZ	5
T2108174055	D	XZ	5
T2108174056	A	XZ	29
T2108174057	C	XZ	29
T2108174058	D	XZ	29
T2108174059	B	XZ	29
T2108174060	B	XZ	61
T2108174061	A	XZ	61
T2108174062	D	XZ	61
T2108174063	C	XZ	61
T2108174064	D	XZ	30
T2108174065	C	XZ	30
T2108174066	B	XZ	30
T2108174067	A	XZ	30
T2108174068	A	XZ	51
T2108174069	C	XZ	51
T2108174070	B	XZ	51
T2108174071	D	XZ	51
T2108174072	D	XZ	1
T2108174073	A	XZ	1
T2108174074	C	XZ	1
T2108174075	B	XZ	1
T2108174076	A	XZ	69
T2108174077	D	XZ	69
T2108174078	B	XZ	69
T2108174079	C	XZ	69
T2108174080	D	XZ	67
T2108174081	C	XZ	67
T2108174082	B	XZ	67
T2108174083	A	XZ	67
T2108174084	B	XZ	47
T2108174085	C	XZ	47
T2108174086	A	XZ	47
T2108174087	D	XZ	47
T2108174088	C	XZ	32
T2108174089	D	XZ	32
T2108174090	A	XZ	32
T2108174091	B	XZ	32
T2108174092	D	XZ	102
T2108174093	C	XZ	102
T2108174094	B	XZ	102
T2108174095	A	XZ	102
T2108174096	D	XZ	36
T2108174097	B	XZ	36
T2108174098	C	XZ	36
T2108174099	A	XZ	36
T2108174100	B	XZ	63
T2108174101	A	XZ	63
T2108174102	D	XZ	63
T2108174103	C	XZ	63
T2108174104	D	XZ	16
T2108174105	A	XZ	16
T2108174106	B	XZ	16
T2108174107	C	XZ	16
T2108174108	A	XZ	46
T2108174109	B	XZ	46
T2108174110	D	XZ	46
T2108174111	C	XZ	46
T2108174112	B	XZ	65
T2108174113	A	XZ	65
T2108174114	C	XZ	65
T2108174115	D	XZ	65
T2108174116	A	XZ	100
T2108174117	D	XZ	100
T2108174118	B	XZ	100
T2108174119	C	XZ	100
T2108174120	A	XZ	9
T2108174121	D	XZ	9
T2108174122	B	XZ	9
T2108174123	C	XZ	9
T2108174124	A	XZ	73
T2108174125	B	XZ	73
T2108174126	D	XZ	73
T2108174127	C	XZ	73
T2108174128	D	XZ	44
T2108174129	A	XZ	44
T2108174131	C	XZ	44
T2108174132	B	XZ	25
T2108174133	D	XZ	25
T2108174134	A	XZ	25
T2108174135	C	XZ	25
T2108174136	B	XZ	71
T2108174137	D	XZ	71
T2108174138	A	XZ	71
T2108174139	C	XZ	71
T2108174140	A	XZ	42
T2108174141	B	XZ	44
T2108174142	D	XZ	42
T2108174143	C	XZ	42
T2108174144	A	XZ	11
T2108174145	D	XZ	11
T2108174146	B	XZ	11
T2108174147	C	XZ	11
