name	A_mean	B_mean	C_mean	Dmean	p_value	q_value
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus oralis_S	2.79E-07	1.92E-07	1.27E-06	4.38E-07	4.19E-15	7.04E-12
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis_F	1.05E-07	9.28E-08	6.97E-07	2.31E-07	3.40E-14	5.71E-11
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus peroris	2.49E-08	2.16E-08	1.13E-07	4.70E-07	2.55E-15	4.29E-12
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus salivarius	2.00E-07	1.46E-07	8.18E-07	1.11E-06	1.13E-15	1.91E-12
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis	1.70E-07	8.57E-08	7.27E-07	3.11E-07	4.17E-18	7.01E-15
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis_G	6.52E-08	4.36E-08	1.26E-07	7.91E-08	1.76E-14	2.96E-11
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sanguinis_H	4.14E-07	2.01E-07	1.12E-06	5.88E-07	1.43E-16	2.40E-13
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp019448285	3.12E-07	1.16E-07	7.31E-07	4.57E-07	2.20E-15	3.70E-12
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp902363395	1.26E-08	2.61E-08	1.11E-07	4.86E-08	2.74E-15	4.61E-12
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp905221165	1.39E-07	5.96E-08	4.03E-07	2.66E-07	9.86E-14	1.66E-10
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp943912555	1.35E-07	5.68E-08	3.82E-07	3.94E-07	3.35E-13	5.62E-10
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus sp943914425	1.24E-07	5.95E-08	3.78E-07	2.54E-07	1.32E-13	2.23E-10
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	1.40E-07	1.50E-07	4.71E-07	4.81E-07	2.46E-17	4.14E-14
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus vestibularis	5.27E-07	9.06E-08	3.19E-07	1.63E-07	1.14E-17	1.92E-14
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus vulneris	8.83E-08	3.58E-08	2.57E-07	1.52E-07	9.01E-15	1.52E-11
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__	2.10E-05	4.16E-05	1.75E-05	5.56E-05	1.11E-09	1.87E-06
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus arlettae	2.86E-09	1.37E-09	1.15E-08	2.00E-08	1.96E-20	3.29E-17
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	5.05E-06	9.96E-07	1.38E-06	6.08E-06	7.30E-20	1.23E-16
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus auricularis	1.93E-08	3.12E-10	2.76E-09	7.02E-09	3.04E-16	5.10E-13
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus borealis	1.64E-09	2.68E-09	1.14E-09	2.96E-09	3.17E-09	5.33E-06
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus capitis	3.11E-06	6.34E-06	4.38E-06	4.26E-06	9.76E-07	0.001641334
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus cohnii	6.01E-09	1.23E-09	3.51E-08	1.30E-07	3.95E-28	6.65E-25
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus condimenti	3.43E-09	1.38E-10	4.69E-08	9.67E-08	6.81E-12	1.14E-08
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus epidermidis	2.46E-05	4.34E-05	1.01E-05	1.50E-05	5.59E-11	9.40E-08
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus equorum	4.53E-07	1.36E-07	1.13E-06	1.13E-06	3.09E-24	5.19E-21
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus haemolyticus	3.05E-07	1.02E-07	1.20E-06	1.86E-06	1.35E-33	2.28E-30
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus hominis	2.69E-06	7.83E-07	8.98E-06	2.25E-05	4.76E-43	8.00E-40
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus lloydii	7.22E-11	2.45E-11	2.20E-09	2.56E-09	1.03E-14	1.74E-11
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis	2.88E-08	1.81E-08	2.98E-08	9.84E-08	4.35E-19	7.31E-16
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pasteuri	4.06E-08	1.72E-08	7.15E-08	1.13E-07	7.16E-13	1.20E-09
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pettenkoferi	1.91E-06	1.03E-07	1.02E-06	1.17E-06	1.71E-11	2.88E-08
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus pseudoxylosus	1.16E-08	7.41E-09	3.64E-08	3.69E-08	1.40E-18	2.36E-15
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saccharolyticus	4.89E-05	6.44E-06	2.41E-05	4.12E-05	2.33E-08	3.92E-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus saprophyticus	8.09E-06	1.32E-05	5.63E-06	3.91E-06	1.06E-08	1.79E-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus simulans	1.83E-08	2.69E-09	1.10E-07	2.90E-07	3.15E-07	0.000529603
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus sp943908435	7.42E-07	2.92E-08	2.49E-07	3.08E-07	6.53E-10	1.10E-06
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus succinus	1.71E-07	3.42E-07	1.08E-06	1.71E-06	3.42E-16	5.75E-13
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus ureilyticus	2.66E-08	1.10E-08	2.06E-07	5.79E-07	7.67E-22	1.29E-18
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus warneri	5.93E-08	6.31E-08	1.28E-07	2.07E-07	6.63E-09	1.11E-05
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus warneri_A	1.71E-07	2.71E-08	2.66E-07	7.35E-07	1.19E-13	2.01E-10
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus	2.15E-08	1.54E-08	7.64E-08	6.64E-08	5.30E-16	8.90E-13
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B	3.90E-09	1.60E-09	2.27E-08	1.51E-08	1.56E-13	2.61E-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__	3.91E-06	7.04E-07	9.75E-06	3.63E-05	1.14E-26	1.91E-23
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus hydrogenalis	4.09E-08	1.08E-08	3.39E-07	1.83E-06	5.56E-31	9.34E-28
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus jeddahensis	6.25E-08	1.89E-08	9.06E-07	1.90E-06	2.00E-22	3.36E-19
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus lactolyticus	8.32E-09	2.40E-09	1.41E-07	5.71E-07	1.45E-13	2.44E-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus murdochii	3.43E-08	9.94E-09	1.53E-07	1.13E-06	3.33E-17	5.60E-14
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus nagyae	2.16E-07	9.96E-08	7.05E-07	2.46E-06	2.75E-29	4.63E-26
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus octavius	2.62E-07	4.35E-07	8.76E-07	2.69E-06	5.83E-23	9.80E-20
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus prevotii	6.62E-08	2.16E-08	3.72E-07	2.71E-06	5.64E-22	9.48E-19
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus senegalensis	1.52E-07	4.68E-08	5.78E-07	2.79E-06	1.82E-36	3.07E-33
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus sp900232825	1.47E-08	4.53E-09	9.16E-08	5.25E-07	4.10E-21	6.88E-18
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus sp900258475	2.64E-08	1.20E-08	1.10E-07	9.30E-07	9.82E-09	1.65E-05
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus sp900541365	3.49E-09	6.20E-10	1.60E-08	6.21E-08	3.75E-38	6.30E-35
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus sp943908415	3.43E-09	9.75E-10	4.85E-09	4.79E-09	1.54E-07	0.000258674
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus sp943912385	3.09E-08	4.41E-09	6.44E-08	1.84E-07	1.28E-05	0.021523354
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus sp943912825	8.08E-08	2.53E-08	1.65E-07	1.17E-06	5.39E-07	0.000905892
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus sp943913365	8.13E-08	8.37E-09	2.75E-07	1.65E-06	2.97E-06	0.004993271
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus tetradius	2.60E-08	9.73E-09	6.25E-08	7.02E-07	1.96E-12	3.29E-09
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus urinomassiliensis	1.78E-08	4.32E-09	1.01E-07	5.67E-07	2.19E-19	3.69E-16
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus vaginalis	2.86E-08	1.08E-08	1.75E-07	5.77E-07	5.01E-32	8.42E-29
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus vaginalis_B	3.45E-08	1.17E-08	2.17E-07	1.94E-06	2.40E-25	4.04E-22
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus vaginalis_C	1.61E-08	6.25E-09	1.87E-07	2.96E-07	7.20E-29	1.21E-25
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus vaginimassiliensis	9.08E-08	3.54E-08	5.60E-07	1.12E-06	6.17E-30	1.04E-26
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__	3.62E-07	1.12E-07	1.37E-06	6.46E-06	1.20E-28	2.01E-25
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A gorbachii	5.54E-08	2.07E-08	5.00E-07	3.01E-06	3.69E-31	6.21E-28
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A grossensis	6.62E-08	2.44E-08	2.69E-07	1.94E-06	4.17E-25	7.01E-22
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei	8.45E-08	2.55E-08	5.84E-07	3.86E-06	1.31E-28	2.20E-25
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A harei_A	6.19E-08	2.26E-08	5.15E-07	2.85E-06	2.74E-24	4.60E-21
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A lacrimalis	5.39E-08	2.06E-08	2.52E-07	1.83E-06	5.83E-30	9.80E-27
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;s__Peptoniphilus_A lacydonensis	2.05E-07	1.06E-06	3.86E-07	7.71E-07	1.23E-12	2.07E-09
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_B;s__	9.35E-10	4.94E-10	1.23E-08	4.57E-07	2.17E-08	3.65E-05
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_B;s__Peptoniphilus_B duerdenii	3.78E-08	1.15E-08	1.53E-07	1.71E-06	1.81E-11	3.04E-08
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_B;s__Peptoniphilus_B sp000478985	1.75E-09	1.02E-09	5.21E-08	2.71E-07	2.68E-13	4.50E-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__	9.08E-08	2.54E-08	7.58E-07	1.62E-06	1.88E-20	3.16E-17
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C coxii	1.32E-07	4.47E-08	4.19E-07	2.18E-06	5.62E-25	9.44E-22
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C ivorii	4.25E-09	7.71E-11	9.04E-09	5.47E-08	2.31E-06	0.003875011
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C pacaensis	5.21E-09	1.21E-09	2.49E-08	1.26E-07	7.63E-11	1.28E-07
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C rachelemmaiella	5.07E-09	1.37E-09	7.48E-08	2.66E-07	2.40E-13	4.03E-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C sp902363535	1.99E-08	1.12E-08	2.64E-07	1.31E-06	3.59E-18	6.04E-15
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C sp943913915	1.05E-07	3.95E-08	3.77E-07	1.33E-06	2.11E-13	3.54E-10
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_C;s__Peptoniphilus_C urinimassiliensis	2.25E-08	6.40E-09	1.28E-07	5.82E-07	1.79E-21	3.02E-18
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__	4.66E-07	3.10E-07	1.60E-06	5.45E-07	1.15E-15	1.93E-12
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella atypica	8.17E-08	6.78E-08	3.46E-07	3.18E-07	3.09E-10	5.19E-07
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella montpellierensis	1.21E-08	4.12E-09	9.55E-08	8.39E-07	3.45E-16	5.80E-13
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella nakazawae	9.93E-08	6.78E-08	3.92E-07	1.36E-07	3.09E-12	5.19E-09
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula	2.20E-07	1.42E-07	7.55E-07	2.21E-07	1.29E-13	2.17E-10
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_A	1.26E-06	7.77E-07	4.18E-06	1.15E-06	3.08E-14	5.18E-11
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella rogosae	9.82E-08	4.99E-07	8.34E-07	2.34E-07	1.66E-15	2.79E-12
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella sp900552445	2.70E-08	5.31E-08	2.56E-07	7.32E-08	1.85E-15	3.10E-12
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella sp905214495	1.19E-07	5.52E-08	2.45E-07	8.86E-08	8.13E-11	1.37E-07
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__	3.23E-06	1.36E-06	1.80E-05	6.63E-06	1.83E-15	3.07E-12
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas bullata	8.12E-08	6.40E-08	4.47E-07	1.59E-07	6.47E-15	1.09E-11
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas bullata_A	3.58E-07	5.12E-08	6.43E-07	1.74E-06	6.15E-18	1.03E-14
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas diminuta	1.37E-08	2.76E-09	3.28E-08	1.84E-08	6.94E-30	1.17E-26
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas diminuta_A	9.86E-08	1.90E-08	2.64E-07	2.77E-08	1.01E-16	1.70E-13
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas diminuta_C	1.51E-08	5.88E-09	5.19E-08	2.67E-08	4.42E-10	7.43E-07
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas huaxiensis	1.59E-08	5.97E-09	5.99E-08	3.02E-08	1.58E-17	2.65E-14
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp000335735	1.75E-07	7.58E-08	8.73E-07	6.03E-07	5.93E-17	9.96E-14
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp002434505	2.27E-07	5.59E-08	7.07E-07	3.74E-07	9.99E-13	1.68E-09
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp002484265	1.33E-06	5.01E-07	1.89E-07	4.32E-08	3.72E-09	6.25E-06
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp003248455	2.38E-08	9.40E-09	2.74E-07	4.60E-08	3.71E-12	6.24E-09
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp003248965	8.26E-09	4.96E-10	1.75E-08	2.62E-09	1.81E-13	3.05E-10
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp003938605	5.30E-08	1.32E-08	1.87E-07	1.91E-07	1.15E-11	1.94E-08
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp023451375	7.89E-08	3.09E-08	2.23E-07	4.78E-08	2.42E-16	4.06E-13
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp023456105	7.29E-07	7.63E-07	5.47E-07	2.98E-06	2.68E-15	4.50E-12
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp943913355	2.26E-09	2.39E-10	8.82E-09	3.12E-09	4.52E-07	0.000760116
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__	3.09E-06	7.32E-07	9.82E-06	4.04E-06	2.86E-19	4.80E-16
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus aeridis	7.38E-08	2.61E-08	9.45E-08	6.86E-08	3.97E-08	6.67E-05
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus haematequi_A	1.26E-08	3.96E-10	1.85E-08	7.47E-09	3.79E-09	6.37E-06
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus marcusii	4.95E-07	2.17E-07	3.46E-06	2.19E-06	4.21E-26	7.07E-23
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus marinus	4.89E-07	5.07E-07	4.40E-07	1.86E-06	2.70E-13	4.53E-10
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus salipaludis	1.57E-08	1.17E-08	2.06E-08	2.74E-07	3.74E-19	6.29E-16
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus sanguinis	2.72E-08	7.38E-09	1.56E-07	6.14E-08	8.95E-09	1.50E-05
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus sphaerophysae	9.13E-07	4.06E-07	1.34E-06	1.39E-06	2.03E-12	3.41E-09
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus yeei	8.82E-09	3.90E-09	4.78E-08	7.07E-08	5.67E-16	9.53E-13
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__	9.74E-07	1.08E-06	2.51E-06	1.72E-06	6.40E-12	1.08E-08
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria cerebrosa	5.57E-07	3.61E-07	8.64E-07	3.67E-07	1.67E-07	0.000281449
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria cinerea	1.97E-07	5.37E-08	3.51E-07	1.04E-07	7.78E-07	0.00130773
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria elongata	3.36E-07	1.63E-07	8.18E-07	3.31E-07	2.16E-13	3.62E-10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__Neisseria;s__Neisseria flava	1.56E-06	4.64E-07	1.17E-06	9.42E-07	1.61E-08	2.71E-05
