name	A_mean	B_mean	C_mean	Dmean	p_value	q_value
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium swidsinskii	2.02E-07	9.01E-08	6.59E-07	1.70E-06	3.19E-22	5.36E-19
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale	5.65E-07	1.88E-07	3.47E-06	1.99E-05	5.07E-24	8.52E-21
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__	1.22E-08	4.01E-09	1.56E-07	2.03E-07	1.32E-12	2.22E-09
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium casei	7.82E-08	1.58E-08	1.08E-06	1.05E-07	2.41E-12	4.05E-09
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium luteolum	2.50E-09	1.06E-09	1.20E-07	2.93E-07	4.27E-10	7.18E-07
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium paucivorans	8.34E-09	4.93E-09	4.53E-08	5.55E-08	4.73E-14	7.95E-11
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__Brevibacterium sp005280295	1.08E-07	5.04E-08	5.64E-07	8.87E-07	4.70E-20	7.90E-17
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__	1.28E-07	2.89E-08	3.43E-07	3.98E-07	3.04E-16	5.12E-13
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium epidermidis	1.02E-08	2.63E-09	8.22E-08	4.54E-08	1.72E-20	2.90E-17
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium muris	1.08E-06	4.28E-07	8.64E-07	6.18E-07	1.25E-15	2.11E-12
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium nesterenkovii	1.41E-07	2.08E-08	1.35E-07	8.52E-08	4.27E-12	7.17E-09
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium paraconglomeratum	1.51E-07	9.56E-08	1.65E-06	4.78E-07	3.33E-23	5.61E-20
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	4.21E-06	1.05E-06	9.48E-06	6.16E-06	4.85E-14	8.15E-11
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium lacticum	1.21E-06	3.87E-07	1.69E-06	1.09E-06	7.73E-14	1.30E-10
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium maritypicum	1.48E-07	5.51E-08	6.15E-07	4.36E-07	4.45E-17	7.47E-14
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp001866135	5.05E-09	1.16E-09	9.30E-09	7.15E-09	1.22E-27	2.05E-24
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp001889265	4.55E-10	1.73E-10	9.61E-09	1.62E-09	1.81E-07	0.000303443
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp002456035	8.36E-10	2.23E-10	2.88E-07	1.24E-08	9.60E-23	1.61E-19
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	4.34E-07	2.21E-07	1.01E-06	1.11E-06	1.66E-18	2.79E-15
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria atrinae	6.03E-09	8.27E-11	3.22E-08	7.09E-08	2.06E-11	3.46E-08
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria carniphila	1.57E-07	5.41E-08	8.96E-07	6.26E-07	1.60E-30	2.69E-27
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria marina	3.01E-08	1.90E-08	8.54E-08	2.03E-07	2.89E-21	4.86E-18
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria palustris	1.36E-05	1.20E-05	1.35E-05	5.76E-06	1.22E-19	2.05E-16
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila	2.18E-06	1.13E-06	8.66E-06	1.10E-05	1.43E-19	2.40E-16
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rhizophila_A	3.07E-08	1.08E-08	1.67E-07	6.18E-08	4.40E-19	7.39E-16
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria rosea	5.65E-07	2.57E-07	1.88E-06	1.90E-06	5.35E-17	8.99E-14
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__Kocuria salsicia	1.88E-07	2.30E-07	1.13E-06	1.39E-07	3.54E-10	5.95E-07
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__	1.14E-06	4.50E-07	1.76E-06	3.06E-06	1.78E-23	3.00E-20
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus cohnii	3.58E-07	1.04E-07	1.14E-06	1.74E-06	6.64E-22	1.12E-18
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus endophyticus	9.24E-08	3.77E-08	2.58E-07	2.27E-07	8.74E-28	1.47E-24
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus	4.66E-06	2.04E-06	6.86E-06	1.22E-05	1.18E-24	1.98E-21
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus lylae	9.94E-08	2.66E-08	4.31E-07	5.42E-07	2.90E-15	4.88E-12
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus sp023147585	7.11E-06	2.61E-06	1.01E-05	8.37E-06	1.54E-15	2.58E-12
d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus sp023155805	1.86E-07	1.61E-07	2.04E-06	1.31E-06	3.45E-27	5.80E-24
